INITIALS_manner	frequency
<<<<<<< HEAD
P	13967
F	8704
VOW	7758
N	5055
T	4103
P-T	3764
F-P	2085
A	1512
L	1031
P-L	1003
F-L	734
F-P-T	604
F-T	519
F-N	518
F-F	481
G	372
P-F	267
F-P-L	165
A-F	129
P-N	115
SYL	97
N-T	60
F-A	58
A-P	56
N-L	44
N-N	43
A-T	31
P-A	31
P-P	23
F-G	23
F-P-F	21
F-N-T	17
F-F-T	15
A-P-T	15
F-F-L	12
A-L	12
F-P-N	6
N-G	3
F-N-L	3
A-N	3
F-F-P-T	2
F-P-G	2
P-F-N	1
F-F-N	1
F-P-P	1
F-A-T	1
P-G	1
=======
P	2741
VOW	2718
F	2340
L	1001
P-T	384
G	372
N	284
P-L	247
F-P	217
F-L	85
P-F	79
F-P-T	76
P-N	51
F-N	48
PF-F	44
LG	30
PF	27
F-P-L	20
F-F	14
F-T	12
F-G	6
F-P-N	5
P-LG	5
F-PF	1
P-P	1
P-F-N	1
>>>>>>> origin/master
